date,title,category,amount,type,payment_method,description
2026-03-20,Amusement Park,Entertainment,1845,expense,Wallet,Concert night
2026-01-26,Cash Withdrawal,Other,4605,expense,Debit Card,Cash withdrawal
2026-05-12,Footwear Purchase,Shopping,926,expense,UPI,Weekend shopping
2026-01-04,Service Charge,Other,371,expense,Bank Transfer,Cash withdrawal
2026-03-27,Bus Pass,Transport,1982,expense,Cash,Ride home
2026-06-19,Skincare Purchase,Personal Care,156,expense,UPI,Salon appointment
2026-06-27,Online Course,Education,7844,expense,Debit Card,Exam fee payment
2025-11-03,Laptop Accessory,Electronics,27213,expense,Net Banking,Accessory replacement
2025-10-21,Mobile Accessory,Electronics,29766,expense,UPI,Gadget purchase
2026-07-30,Supermarket Purchase,Groceries,2547,expense,UPI,Monthly groceries
2026-07-14,Vegetable Market,Groceries,982,expense,Cash,Vegetables and essentials
2026-05-19,Home Decor,Shopping,22463,expense,Debit Card,New outfit
2026-06-13,Grocery Store,Groceries,3783,expense,Cash,Vegetables and essentials
2025-11-10,Contract Work Payment,Freelance,41806,income,Net Banking,Freelance project payment
2026-06-24,App Subscription,Subscriptions,1064,expense,UPI,Annual plan renewal
2026-04-30,Clothing Store,Shopping,19445,expense,UPI,Gift for friend
2026-05-09,Monthly Salary,Salary,71889,income,Bank Transfer,Monthly salary credited
2025-12-14,Tea Stall,Food,1595,expense,Net Banking,Quick snack
2026-06-10,Monthly Groceries,Groceries,1412,expense,Bank Transfer,Grocery shopping
2026-07-04,Miscellaneous Purchase,Other,4316,expense,Credit Card,Miscellaneous expense
2025-12-06,Client Payment,Freelance,30813,income,Bank Transfer,Client payment received
2026-04-09,House Rent Payment,Rent,43637,expense,Debit Card,Monthly house rent
2026-05-08,Gadget Purchase,Electronics,3295,expense,Cash,Gadget purchase
2025-11-12,Life Insurance Premium,Insurance,13605,expense,Credit Card,Premium payment
2026-01-01,House Rent Payment,Rent,44094,expense,UPI,Rent payment
2026-06-18,Ride Share,Transport,1823,expense,Cash,Ride home
2026-05-31,News Subscription,Subscriptions,373,expense,UPI,Monthly subscription
2026-04-17,Contract Work Payment,Freelance,17690,income,Net Banking,Client payment received
2026-03-06,Fast Food Order,Food,1446,expense,UPI,Lunch
2026-03-06,Vegetable Market,Groceries,2349,expense,Credit Card,Monthly groceries
2026-02-12,Vehicle Insurance,Insurance,13034,expense,UPI,Policy renewal
2026-06-08,Insurance Renewal,Insurance,7014,expense,UPI,Policy renewal
2026-04-07,News Subscription,Subscriptions,113,expense,UPI,Annual plan renewal
2026-07-19,Mobile Recharge,Bills,6266,expense,UPI,Utility bill payment
2026-02-06,Gadget Purchase,Electronics,25914,expense,UPI,Accessory replacement
2026-03-20,Reimbursement,Other,5797,income,Bank Transfer,Cashback received
2026-03-31,Mall Shopping,Shopping,12826,expense,UPI,Weekend shopping
2026-03-23,Monthly Salary,Salary,28097,income,Bank Transfer,Monthly salary credited
2025-10-19,Streaming Subscription,Subscriptions,787,expense,Bank Transfer,Monthly subscription
2025-10-21,Monthly Rent,Rent,16891,expense,Debit Card,Monthly house rent
2026-04-10,Streaming Subscription,Subscriptions,1066,expense,Debit Card,Annual plan renewal
2026-02-08,Personal Trainer,Fitness,4032,expense,UPI,Fitness class
2025-11-09,Contract Work Payment,Freelance,16895,income,Bank Transfer,Client payment received
2026-04-16,App Subscription,Subscriptions,732,expense,UPI,Monthly subscription
2026-01-22,Service Charge,Other,4393,expense,UPI,Cash withdrawal
2026-02-28,Vegetable Market,Groceries,1169,expense,Cash,Grocery shopping
2026-04-20,Doctor Consultation,Healthcare,12077,expense,UPI,Doctor visit
2026-05-13,Restaurant Dinner,Food,2004,expense,UPI,Office lunch
2026-01-10,Insurance Renewal,Insurance,21581,expense,UPI,Premium payment
2026-05-26,Society Maintenance,Utilities,2740,expense,Bank Transfer,Monthly maintenance
2026-03-11,Monthly Salary,Salary,101124,income,UPI,Monthly salary credited
2026-07-25,Monthly Salary,Salary,35368,income,UPI,Monthly salary credited
2026-06-02,Cloud Storage Plan,Subscriptions,933,expense,Credit Card,Monthly subscription
2026-07-18,Monthly Rent,Rent,33927,expense,Wallet,Rent payment
2026-06-28,Footwear Purchase,Shopping,927,expense,UPI,New outfit
